year	rarity
2017	1.91666666667
2017	1.3
2017	1.03684210526
2017	6.27272727273
2017	1.36363636364
2017	1.1842105263200002
2017	1.36666666667
2017	1.18857142857
2017	1.22105263158
2017	1.12
2017	1.665
2016	1.0772727272700002
2015	1.92941176471
2016	1.5705882352899998
2017	1.25263157895
2017	2.40909090909
2017	1.26857142857
2017	1.36428571429
2017	1.39285714286
2017	1.04736842105
2016	1.47272727273
2017	1.42307692308
2017	1.01714285714
2017	1.66875
2017	2.48636363636
2017	1.11
2017	1.3
2016	1.56315789474
2017	1.25882352941
2017	1.22
2017	1.436
2017	2.27777777778
2016	3.909090909090001
2017	1.475
2017	1.06
2016	1.21666666667
2017	1.4571428571399998
2017	1.32105263158
2016	0.75
2017	1.4
2016	1.45882352941
2017	2.27333333333
2016	1.23636363636
2017	1.1736842105299998
2017	1.3176470588200002
2017	1.2
2016	1.50588235294
2017	2.12105263158
2016	1.98125
2017	1.21176470588
2017	1.025
2016	1.775
2017	1.3
2017	2.67111111111
2014	1.595
2017	0.873684210526
2017	1.37777777778
2017	1.35263157895
2017	1.2666666666700002
2017	1.0
2016	1.47272727273
2016	1.60714285714
2016	3.4181818181800003
2017	1.33888888889
2016	1.46842105263
2015	1.35263157895
2017	1.325
2017	1.20769230769
2016	1.16315789474
2016	2.76818181818
2015	1.06842105263
2015	1.86470588235
2017	1.2333333333299998
2016	1.51176470588
2017	2.71111111111
2017	1.2
2016	1.85263157895
2017	1.23888888889
2017	1.14285714286
2016	1.82142857143
2017	1.275
2017	1.53
2013	2.45945945946
2016	2.67647058824
2016	1.41666666667
2016	1.5470588235299998
2017	1.315
2017	3.22666666667
2017	1.325
2017	1.41111111111
2017	1.31538461538
2016	1.14210526316
2015	1.42272727273
2017	1.48947368421
2016	1.66470588235
2017	1.8625
2017	1.38235294118
2017	1.19230769231
2016	1.4526315789500002
2016	1.62352941176
2017	2.71363636364
2017	1.37857142857
2015	1.4315789473700002
2015	1.3578947368399998
2016	1.2666666666700002
2017	1.0857142857100002
2017	1.80909090909
2017	0.911111111111
2017	1.38421052632
2016	1.99444444444
2014	2.51333333333
2015	1.33684210526
2016	1.1947368421100002
2017	1.825
2017	2.22631578947
2014	1.49411764706
2015	1.25909090909
2016	1.02105263158
2016	1.07777777778
2016	1.6
2017	1.3166666666700002
2017	4.56571428571
2017	1.31875
2017	2.06
2015	1.47222222222
2017	1.20625
2017	1.33
2012	3.01666666667
2017	1.4649122807
2017	1.14782608696
2017	1.12222222222
2016	0.941176470588
2016	1.85
2014	2.01764705882
2017	1.525
2017	1.57222222222
2017	1.61714285714
2016	1.6
2016	1.9375
2017	1.03043478261
2017	1.055
2012	2.56875
2016	1.2666666666700002
2017	0.456
2017	0.85625
2015	1.40625
2015	1.68823529412
2015	7.08
2016	1.4421052631600002
2016	0.942105263158
2011	3.16
2017	1.52727272727
2017	1.42857142857
2016	0.80625
2016	1.16
2016	0.632727272727
2015	3.28125
2017	0.947826086957
2013	1.82941176471
2017	1.8
2016	1.36315789474
2016	1.43888888889
2015	7.71
2017	1.28823529412
2017	1.2470588235299995
2015	2.75
2017	1.4
2017	1.2
2016	1.28
2017	1.2333333333299998
2016	1.05714285714
2017	1.3214285714299998
2015	1.2133333333299998
2014	1.75135135135
2017	1.2133333333299998
2016	1.44
2016	1.5428571428600002
2015	1.96
2015	1.1257142857100002
2016	1.385
2017	1.45
2016	1.19411764706
2016	3.33333333333
2016	1.22105263158
2016	0.662857142857
2016	1.20666666667
2016	0.952631578947
2017	1.36666666667
2017	1.4307692307700002
2013	1.63125
2016	1.425
2014	1.46470588235
2013	1.64375
2016	1.432
2016	1.9888888888900005
2014	1.885
2016	0.994736842105
2017	1.32
2016	1.55294117647
2017	1.3428571428600002
2016	1.175
2015	2.73846153846
2017	1.35
2017	1.01052631579
2017	1.4307692307700002
2016	1.335
2016	0.889473684211
2017	1.43846153846
2016	1.55833333333
2015	1.09375
2015	1.05789473684
2015	1.49333333333
2017	2.25263157895
2016	1.41111111111
2017	1.1052631578899998
2014	1.5470588235299998
2016	0.984
2017	2.045
2016	1.52105263158
2015	2.60101010101
2017	1.58181818182
2017	1.27692307692
2013	1.64375
2016	2.38421052632
2016	1.32173913043
2015	1.42222222222
2017	1.51428571429
2016	1.52307692308
2015	1.28947368421
2014	1.68965517241
2017	1.4
2016	1.9
2017	1.32857142857
2017	1.32
2017	1.3608695652200002
2016	1.23684210526
2016	1.00625
2015	1.1263157894700002
2016	1.25882352941
2016	1.75384615385
2017	0.911111111111
2014	1.4
2014	1.77647058824
2016	1.58947368421
2016	0.864285714286
2017	1.3428571428600002
2016	1.44444444444
2017	1.01578947368
2017	1.21666666667
2017	0.855
2016	1.64705882353
2017	1.32105263158
2017	1.535
2013	1.48125
2015	1.2
2016	1.4590909090900002
2015	11.115
2016	1.1818181818200002
2017	1.3944444444400002
2015	2.22222222222
2016	1.94166666667
2011	2.325
2014	1.3176470588200002
2016	1.675
2016	1.675
2016	1.62307692308
2017	1.2055555555600002
2014	2.22666666667
2016	0.825
2016	1.01538461538
2016	1.285
2017	1.66060606061
2016	1.6
2016	0.988571428571
2017	1.37222222222
2017	1.22
2016	0.813333333333
2016	0.8421052631579999
2015	0.95
2015	0.413043478261
2015	1.064
2017	1.8
2016	1.16956521739
2016	1.284
2016	2.42727272727
2016	0.821428571429
2017	1.31428571429
2016	1.3225
2016	0.957894736842
2017	1.2133333333299998
2016	2.6
2016	3.56571428571
2014	1.45882352941
2016	2.46875
2017	1.2333333333299998
2016	1.30588235294
2015	1.252
2015	1.68571428571
2015	2.62222222222
2012	2.1125
2015	1.18
2016	1.51428571429
2014	1.59411764706
2016	2.15
2016	1.13888888889
2016	1.264
2015	1.26
2016	0.88
2017	0.713513513514
2017	1.12
2016	0.65625
2014	2.22857142857
2010	3.04571428571
2016	1.20833333333
2017	1.22941176471
2016	1.34
2016	1.05384615385
2017	0.456666666667
2015	1.00526315789
2017	0.993333333333
2006	0.93125
2013	2.05882352941
2016	1.09473684211
2016	1.15555555556
2017	1.05882352941
2015	1.1875
2017	1.22222222222
2015	0.942105263158
2015	1.1157894736799998
2017	1.365
2013	5.25882352941
2016	4.96666666667
2016	1.625
2017	1.2375
2015	1.33157894737
2016	1.41666666667
2013	2.38823529412
2016	1.02105263158
2016	0.778947368421
2016	1.6975
2013	4.85
2016	1.27810650888
2016	1.20769230769
2014	1.7705882352900002
2017	0.654347826087
2014	1.21428571429
2016	1.22222222222
2016	1.22777777778
2016	1.47333333333
2016	3.45
2015	0.8864864864859999
2017	1.50666666667
2011	2.15333333333
2014	1.32
2016	1.5692307692299998
2014	2.05714285714
2016	1.42
2016	1.2625
2016	0.8842105263160001
2017	1.27307692308
2017	1.52
2015	1.6
2016	1.71538461538
2016	1.85714285714
2017	0.964285714286
2017	1.1785714285700002
2016	1.79333333333
2017	1.43846153846
2016	0.7466666666670001
2017	0.589473684211
2016	1.42222222222
2014	9.16756756757
2014	1.56428571429
2017	1.3
2017	1.1
2015	0.984210526316
2017	1.36923076923
2008	1.14838709677
2016	2.035
2016	1.335
2015	1.31052631579
2014	2.044
2017	1.22727272727
2017	0.7105263157889999
2013	1.33333333333
2016	0.878947368421
2017	0.902702702703
2017	1.37
2016	2.80833333333
2016	1.7
2015	0.816
2016	1.45
2016	1.45
2017	1.23157894737
2016	1.57857142857
2014	2.42666666667
2016	1.41
2014	0.992857142857
2017	1.13333333333
2013	2.1375
2016	2.82
2016	0.95
2014	2.88
2016	0.938461538462
2016	0.677777777778
2016	1.108
2017	2.30833333333
2012	2.0
2017	1.1034482758600002
2017	0.938461538462
2017	1.54444444444
2017	1.28857142857
2017	3.75833333333
2016	1.45454545455
2016	0.775
2011	2.86666666667
2015	1.99333333333
2016	3.41714285714
2017	1.05
2015	1.36
2016	2.41111111111
2012	2.7125
2012	2.06875
2017	1.025
2017	1.46875
2015	2.3
2015	2.3
2013	1.98823529412
2015	1.7611111111099995
2016	4.52
2017	3.76666666667
2013	1.008
2016	1.80444444444
2016	3.38333333333
2016	0.958823529412
2017	0.925
2016	1.38
2016	0.786666666667
2016	2.375
2017	3.5625
2016	4.15555555556
2015	6.8
2016	1.30555555556
2014	1.248
2017	2.45714285714
2016	0.7066666666670001
2014	0.963636363636
2012	1.18260869565
2013	2.64324324324
2016	1.39166666667
2016	1.05
2017	1.11
2016	0.504545454545
2014	2.03846153846
2015	1.325
2016	0.9
2015	1.58125
2016	1.15217391304
2015	1.192
2017	0.9875
2017	1.25625
2016	0.98125
2017	1.31333333333
2016	0.908
2016	1.77222222222
2016	1.41777777778
2015	0.918518518519
2017	1.53684210526
2017	1.6571428571399998
2017	1.49696969697
2016	2.24545454545
2017	1.205
2013	2.35
2014	1.72
2017	1.17777777778
2017	1.7578947368400002
2014	1.80540540541
2016	1.36111111111
2013	2.45625
2017	2.38181818182
2015	1.37142857143
2017	1.0434782608700002
2013	1.195
2015	1.47391304348
2015	1.88333333333
2016	1.11176470588
2017	1.94375
2017	1.25
2016	1.19444444444
2017	1.2625
2015	0.784615384615
2015	1.1052631578899998
2015	1.05
2016	2.475
2016	0.506666666667
2010	0.434285714286
2013	1.24285714286
2014	2.42352941176
2012	1.65
2011	3.325
2007	4.256
2017	1.36666666667
2016	4.07142857143
2016	1.39375
2009	0.892
2017	1.20540540541
2015	1.3075
2014	1.92352941176
2015	1.0
2016	0.845
2014	2.09189189189
2016	1.625
2016	1.625
2008	1.3
2016	0.7027027027030001
2017	0.384615384615
2016	0.416666666667
2013	1.775
2012	2.02857142857
2017	1.28947368421
2014	1.89814814815
2013	2.1542857142900003
2017	2.51333333333
2017	1.63076923077
2014	1.50588235294
2017	1.31052631579
2012	3.54375
2016	3.6
2006	6.260869565219999
2016	6.0
2010	3.18
2016	0.621052631579
2017	0.983333333333
2013	1.85882352941
2016	1.53333333333
2017	1.505
2015	2.408
2016	1.37222222222
2016	1.0466666666700002
